week,new_cases_clean,new_deaths_clean,new_cases_7day,new_deaths_7day,incidence_7day_per_100k,cfr_percent,people_vaccinated_per_100,people_fully_vaccinated_per_100,boosters_per_100,hosp_patients,icu_patients,excess_mortality,wave
2021-09-19,61471.0,385.0,10028.714285714286,62.836734693877546,84.20431177509757,2.313941560390315,68.1375207149252,62.880927923095456,0.5164817396794812,,1531.2857142857142,7.67,Outside defined waves
2021-09-26,53623.0,354.0,8621.408163265307,54.367346938775505,72.3881167852273,2.2894854078810973,68.69007785069516,63.731619252237984,0.7987432865410321,,1472.5714285714287,7.97,Outside defined waves
2021-10-03,56481.0,423.0,7718.755102040816,51.97959183673469,64.80915126415705,2.2687458031924352,69.10539470868602,64.35903319473805,1.0584846990230519,,1371.142857142857,6.75,Wave 4
2021-10-10,58025.0,489.0,8100.224489795918,61.775510204081634,68.01209097747031,2.24872980528012,69.46804263988032,64.92709473833703,1.3460659154437624,,1354.5714285714287,6.17,Wave 4
2021-10-17,65359.0,581.0,8438.959183673469,71.73469387755102,70.85621645155405,2.2296356331782676,69.80073129563401,65.45170171851116,1.6803306807353833,,1394.7142857142858,6.31,Wave 4
2021-10-24,97723.0,1051.0,9997.489795918367,92.59183673469387,83.94214091262329,2.2089149383902735,70.09838449971836,65.92898822883672,2.080691290759344,,1533.4285714285713,11.47,Wave 4
2021-10-31,137011.0,1274.0,14762.224489795917,154.69387755102042,123.94838640516933,2.1823223741377626,70.39389664175918,66.4127051221401,2.7031969834654834,,1821.857142857143,14.91,Wave 4
2021-11-07,177868.0,1672.0,20406.816326530614,190.12244897959184,171.34219555382893,2.1439117885156658,70.6770829834866,66.81875963777787,3.591660965164381,,2309.714285714286,15.65,Wave 4
2021-11-14,271174.0,2286.0,27313.91836734694,251.3877551020408,229.3364465751986,2.0957713268853095,71.05791974651746,67.25477342885628,5.149544487550894,,2816.714285714286,16.5,Wave 4
2021-11-21,351654.0,2710.0,40381.59183673469,335.2244897959184,339.05683740923917,2.026094379247181,71.54576163274393,67.67809318093929,7.71326657218006,,3435.0,23.21,Wave 4
2021-11-28,403348.0,3093.0,51291.26530612245,394.9591836734694,430.65796592971407,1.9438194348890954,72.4309942300477,68.18017043093761,12.347368064998086,,4188.714285714285,27.11,Wave 4
2021-12-05,388054.0,2865.0,57309.02040816326,437.204081632653,481.18497391519867,1.863077913312031,73.21826454266915,68.71819113482765,18.82495156521831,,4737.285714285715,31.03,Wave 4
2021-12-12,338008.0,2513.0,54414.938775510214,402.10204081632656,456.8853333874353,1.7944679803011887,73.85186057691845,69.30704317052786,26.583453920506507,,4919.571428571428,27.33,Wave 4
2021-12-19,273503.0,1994.0,46970.42857142857,348.4081632653061,394.37883052192495,1.7417760531386723,74.58013713352454,70.09667644798166,34.61810050253185,,4770.857142857143,22.03,Wave 4
2021-12-26,193832.0,1287.0,37445.91836734694,270.4285714285714,314.40797843851993,1.7026486207651224,74.99590859236386,70.62621806638948,38.674791747231374,,4403.571428571428,16.92,Wave 4
2022-01-02,208696.0,1029.0,27993.632653061224,178.59183673469389,235.04354640890347,1.6730571585441092,75.29654728856383,70.9793433692568,41.36177423394359,,3959.1428571428573,17.3,Wave 4
2022-01-09,337882.0,870.0,32450.163265306124,143.75510204081633,272.46201127067394,1.6348616150372166,75.69280689515537,71.70103121224653,45.23521215825771,,3491.285714285714,4.76,Wave 4
